3 phase apparent power all meters exported from database
Time,AG_SCIENCE__MCC_MTR,BIOMEDICAL_SCIENCE_CH_MTR_1,BIOMEDICAL_SCIENCE_CH_MTR_2,BIOMEDICAL_SCIENCE_MAIN_A_MTR,BIOMEDICAL_SCIENCE_MAIN_B_MTR,BIOMEDICAL_SCIENCE_MCC_A_MTR,HAMILTON_LIB_PH_III_CH_1_MTR,HAMILTON_LIB_PH_III_CH_2_MTR,HAMILTON_LIB_PH_III_CH_3_MTR,HAMILTON_LIB_PH_III_MAIN_1_MTR,HAMILTON_LIB_PH_III_MAIN_2_MTR,HAMILTON_LIB_PH_III_MCC_AC1_MTR,HAMILTON_LIB_PH_III_MCC_AC2_MTR
Aug 11 24  11:10,129490.00,0.00,293300.00,713390.00,40200.00,153090.00,0.00,141080.00,1810.00,370780.00,84480.00,59320.00,22680.00
Aug 11 24  11:11,144160.00,0.00,292320.00,715070.00,41700.00,152600.00,0.00,141080.00,1810.00,350040.00,84510.00,59320.00,23510.00
Aug 11 24  11:12,147690.00,0.00,293280.00,720290.00,41820.00,153370.00,0.00,142570.00,1800.00,364380.00,84620.00,59320.00,23510.00
Aug 11 24  11:13,133030.00,0.00,292520.00,714470.00,40750.00,152330.00,0.00,142570.00,1800.00,363480.00,84590.00,59040.00,24260.00
Aug 11 24  11:14,131020.00,0.00,292020.00,715890.00,41020.00,153050.00,0.00,145070.00,1800.00,373060.00,86090.00,59040.00,24260.00
Aug 11 24  11:15,138560.00,0.00,293890.00,713730.00,41420.00,154000.00,0.00,145070.00,1800.00,373660.00,84650.00,59260.00,24260.00
Aug 11 24  11:16,132510.00,0.00,292380.00,718980.00,41340.00,151130.00,0.00,145070.00,1800.00,375240.00,84470.00,59260.00,24780.00
Aug 11 24  11:17,142960.00,0.00,291500.00,715140.00,42420.00,149240.00,0.00,144120.00,1800.00,372560.00,84370.00,59260.00,24780.00
Aug 11 24  11:18,132880.00,0.00,294790.00,742810.00,42750.00,152200.00,0.00,144120.00,1800.00,377440.00,84460.00,59300.00,26420.00
Aug 11 24  11:19,143080.00,0.00,292490.00,744350.00,43070.00,153590.00,0.00,144120.00,1800.00,378930.00,86080.00,59300.00,26420.00
Aug 11 24  11:20,143190.00,0.00,293250.00,738250.00,42960.00,154750.00,0.00,144440.00,1810.00,376810.00,84780.00,59300.00,26420.00
Aug 11 24  11:21,124280.00,0.00,291340.00,736190.00,43300.00,154800.00,0.00,144440.00,1810.00,381890.00,84410.00,59230.00,26820.00
Aug 11 24  11:22,136720.00,0.00,291000.00,737580.00,43090.00,153830.00,0.00,143650.00,1810.00,379770.00,84420.00,59230.00,26820.00
Aug 11 24  11:23,137560.00,0.00,290180.00,746730.00,43400.00,152800.00,0.00,143650.00,1490.00,358090.00,84580.00,59030.00,26820.00
Aug 11 24  11:24,128610.00,0.00,290550.00,737840.00,42850.00,153860.00,0.00,143650.00,1490.00,373320.00,84440.00,59030.00,28270.00
Aug 11 24  11:25,140560.00,0.00,287990.00,731580.00,43390.00,150440.00,0.00,143310.00,1490.00,340940.00,84960.00,59030.00,28270.00
Aug 11 24  11:26,144740.00,0.00,289290.00,728880.00,44160.00,151540.00,0.00,143310.00,1490.00,334980.00,84700.00,59120.00,28270.00
Aug 11 24  11:27,150650.00,0.00,291690.00,733210.00,43510.00,152190.00,0.00,143310.00,1490.00,332390.00,84640.00,59120.00,28700.00
Aug 11 24  11:28,133850.00,0.00,291430.00,737540.00,42810.00,153050.00,0.00,139570.00,1490.00,329910.00,84370.00,59120.00,28700.00
Aug 11 24  11:29,132170.00,0.00,291450.00,738980.00,43150.00,153900.00,0.00,139570.00,1490.00,343910.00,84980.00,58790.00,28450.00
Aug 11 24  11:30,145630.00,0.00,289000.00,748140.00,44250.00,153860.00,0.00,134350.00,1490.00,332770.00,86580.00,58790.00,28450.00
Aug 11 24  11:31,138080.00,0.00,290090.00,731350.00,43990.00,154440.00,0.00,134350.00,1490.00,324040.00,84840.00,58270.00,28450.00
